# http://finance.yahoo.com/quote/GOOG/history?ltr=1
# Open,High,Low,Volume,Close
828.659973,833.450012,828.349976,1247700,831.659973
823.02002,828.070007,821.655029,1597800,828.070007
819.929993,824.400024,818.97998,1281700,824.159973
819.359985,823,818.469971,1304000,818.97998
819,823,816,1053600,820.450012
816,820.958984,815.48999,1198100,819.23999
811.700012,815.25,809.780029,1129100,813.669983
809.51001,810.659973,804.539978,989700,809.559998
807,811.840027,803.190002,1155300,808.380005
803.98999,810.5,801.780029,1235200,806.969971
799.700012,801.669983,795.25,1174200,801.340027
802.98999,806,800.369995,1460400,801.48999
793.799988,802.700012,792,1525800,798.530029
799.679993,801.190002,791.190002,2023300,795.695007
796.859985,801.25,790.52002,2143500,796.789978
814.659973,815.840027,799.799988,3228900,802.320007
834.710022,841.950012,820.440002,2951800,823.309998
837.809998,838,827.01001,2734400,832.150024
829.619995,835.77002,825.059998,1494500,835.669983
822.299988,825.900024,817.820984,1461000,823.869995
807.25,820.869995,803.73999,1901600,819.309998
806.909973,806.909973,801.690002,1645000,805.02002
805.119995,809.47998,801.799988,912000,802.174988
805.809998,806.205017,800.98999,1293300,806.070007
807.080017,807.140015,800.369995,1355800,804.609985
807.47998,811.223999,806.690002,1090100,807.880005
807.140015,807.390015,799.169983,1351000,806.359985
805,808.150024,801.369995,1057900,807.909973
807.859985,809.130005,803.51001,1174300,804.789978
806.400024,809.966003,802.830017,1272400,806.650024
795.26001,807.900024,792.203979,1620500,806.150024
786.080017,794.47998,785.02002,1315400,794.02002
788.359985,791.340027,783.159973,1065400,786.900024
778.809998,789.630005,775.799988,1643100,786.140015
782.75,782.780029,770.409973,1760200,771.820007
783.330017,785.929993,778.919983,742200,782.789978
793.700012,794.22998,783.200012,1132700,785.049988
790.679993,797.859985,787.656982,789100,791.549988
790.900024,792.73999,787.280029,623400,789.909973
792.359985,793.320007,788.580017,969100,791.26001
795.840027,796.676025,787.099976,1208700,794.559998
796.76001,798.650024,793.27002,925100,796.419983
790.219971,797.659973,786.27002,1225900,794.200012
800.400024,800.856018,790.289978,2428300,790.799988
797.340027,803,792.919983,1623700,797.849976
797.400024,804,794.01001,1664500,797.070007
793.900024,804.380005,793.340027,2119800,796.099976
785.039978,791.25,784.35498,2097100,789.27002
780,789.429993,779.020996,1780500,789.289978
772.47998,778.179993,767.22998,1448200,776.419983
761,771.359985,755.799988,1750800,771.190002
764.72998,768.830017,757.340027,1632800,759.109985
757.710022,763.900024,752.900024,1382900,762.52002
744.590027,754,743.099976,1448700,750.5
757.440002,759.849976,737.025024,2996900,747.919983
770.070007,772.98999,754.830017,2365800,758.039978
771.530029,778.5,768.23999,1604500,770.840027
760,779.530029,759.799988,2172200,768.23999
764.26001,765,760.52002,586000,761.679993
767.72998,768.28302,755.25,1477400,760.98999
772.630005,776.960022,767,1591800,768.27002
762.609985,769.700012,760.599976,1323000,769.200012
771.369995,775,760,1526200,760.539978
766.919983,772.700012,764.22998,1287000,771.22998
755.200012,766.359985,750.51001,1465200,764.47998
746.969971,764.416016,746.969971,2341200,758.48999
755.599976,757.849976,727.539978,3631700,736.080017
756.539978,760.780029,750.380005,2394000,754.02002
791.169983,791.169983,752.179993,4740100,762.559998
779.940002,791.22699,771.669983,2602700,785.309998
783.400024,795.632996,780.190002,1350800,790.51001
774.5,785.190002,772.549988,1585100,782.52002
750.659973,770.359985,750.560974,2134800,762.02002
767.25,769.950012,759.030029,1943200,762.130005
778.200012,781.650024,763.450012,1872400,768.700012
782.890015,789.48999,775.539978,2406400,783.609985
795.469971,796.859985,784,2427300,784.539978
808.349976,815.48999,793.590027,4269900,795.369995
801,803.48999,791.5,2749200,795.349976
806.340027,806.97998,796.320007,1647700,799.070007
816.679993,816.679993,805.140015,1576400,807.669983
804.900024,815.179993,804.820007,1697500,813.109985
795,799.5,794,1266200,799.369995
803.299988,803.969971,796.030029,1757500,796.969971
798.23999,804.599976,798.030029,1766800,801.5
787.849976,801.609985,785.565002,2056900,795.26001
779.799988,785.849976,777.5,1093000,779.960022
781.650024,783.950012,776,852500,778.530029
781.219971,781.219971,773,1365300,778.190002
783.76001,788.130005,782.059998,937400,786.140015
786.659973,792.280029,780.580017,1372500,783.070007
777.710022,789.380005,775.869995,1174900,785.940002
779.659973,779.659973,770.75,933200,775.080017
779,780.47998,775.539978,1070700,776.859985
779.309998,782.070007,775.650024,1461200,776.469971
776.030029,778.710022,772.890015,1201400,776.429993
774.25,776.065002,769.5,1278800,772.559998
776.330017,780.940002,774.090027,1585300,777.289978
781.440002,785.799988,774.231995,1314700,775.01001
777.849976,781.809998,774.969971,1109800,781.559998
775.5,785.98999,774.307983,1153200,783.01001
782.73999,782.73999,773.070007,1533200,774.210022
786.590027,788.929993,784.150024,1411900,786.900024
780,789.849976,778.440002,1486200,787.210022
772.659973,777.159973,768.301025,1167800,776.219971
769,773.330017,768.530029,978600,771.409973
772.419983,774,764.440979,1172800,765.700012
769.75,769.75,764.659973,2049300,768.880005
762.890015,773.799988,759.960022,1305100,771.76001
759.609985,767.679993,759.109985,1087400,762.48999
764.47998,766.219971,755.799988,1395000,759.690002
755.130005,770.289978,754,1311000,769.02002
770.099976,773.244995,759.659973,1885500,759.659973
778.590027,780.349976,773.580017,1270300,775.320007
780,782.72998,776.200012,893700,780.349976
773.450012,782,771,1442800,780.080017
773.01001,773.919983,768.409973,1072700,771.460022
769.25,771.02002,764.299988,925100,768.780029
767.01001,769.090027,765.380005,1248600,767.049988
769.330017,774.466003,766.840027,1130000,769.090027
768.73999,774.98999,766.61499,847600,772.150024
769,776.080017,765.849976,1166700,769.539978
767,771.890015,763.184998,926900,769.409973
770.580017,774.5,767.070007,1072000,769.640015
775.47998,776.440002,771.784973,928200,772.080017
773.27002,774.539978,770.049988,951400,772.150024
775,777.099976,773.130005,861500,775.419983
780.01001,782.859985,777,719400,777.5
777.320007,780.809998,773.530029,924200,779.909973
780.299988,780.97998,773.44397,1028000,777.140015
